i,j,x,y,Bx,By,Bz,psi,divB_centered,normDivB_centered,divB_fv,normDivB_fv,divB_analytic_initial,Bmag
33,1,0.261719,0.0117188,1.00012,0.000326733,0,-0.000180512,0.00536289,4.18924e-05,0.00526844,4.11546e-05,1.4596e-12,1.00012
34,1,0.269531,0.0117188,1.00012,0.000351297,0,-0.0001863,0.00549049,4.28892e-05,0.00539052,4.21083e-05,2.07103e-12,1.00012
35,1,0.277344,0.0117188,1.00012,0.000376837,0,-0.000191666,0.00560509,4.37845e-05,0.00549868,4.29533e-05,2.90216e-12,1.00012
36,1,0.285156,0.0117188,1.00012,0.000403312,0,-0.000196562,0.00570572,4.45707e-05,0.00559182,4.3681e-05,4.01635e-12,1.00012
37,1,0.292969,0.0117188,1.00011,0.000430671,0,-0.000200941,0.00579143,4.52405e-05,0.00566891,4.42834e-05,5.48927e-12,1.00011
38,1,0.300781,0.0117188,1.00011,0.000458852,0,-0.000204758,0.00586134,4.57868e-05,0.00572894,4.47525e-05,7.40911e-12,1.00011
39,1,0.308594,0.0117188,1.0001,0.00048778,0,-0.000207968,0.00591457,4.6203e-05,0.00577093,4.50809e-05,9.876e-12,1.0001
40,1,0.316406,0.0117188,1.00009,0.000517369,0,-0.000210531,0.00595031,4.64825e-05,0.00579398,4.52613e-05,1.30003e-11,1.00009
41,1,0.324219,0.0117188,1.00008,0.000547519,0,-0.000212407,0.00596778,4.66194e-05,0.00579722,4.5287e-05,1.68998e-11,1.00008
42,1,0.332031,0.0117188,1.00007,0.000578115,0,-0.000213559,0.00596624,4.66078e-05,0.00577983,4.51517e-05,2.16949e-11,1.00007
